,aluminium,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,target
1130,2.61,0.53,4.05,0.06,3.69,0.03,1.39,1.12,0.0,0.0,0.108,10.02,1.61,0.009,49.87,4.39,0.02,0.11,0.07,1
1131,3.6,0.53,2.07,0.12,0.09,0.34,0.37,1.29,0.0,0.0,0.122,12.88,1.08,0.007,6.99,2.73,0.04,0.03,0.08,1
1132,3.99,0.48,3.73,0.04,5.89,0.08,0.35,1.43,0.0,0.0,0.061,18.72,1.12,0.004,49.94,2.9,0.05,0.46,0.03,1
1133,1.27,0.67,4.0,0.07,5.82,0.45,1.45,0.52,0.0,0.0,0.088,1.07,1.7,0.007,36.02,6.59,0.01,0.34,0.01,1
1134,0.85,0.58,3.24,0.13,1.25,0.2,1.06,0.53,0.0,0.0,0.158,12.02,1.72,0.002,8.8,3.42,0.03,0.15,0.03,1
1135,3.36,0.7,1.81,0.01,1.93,0.45,0.5,0.74,0.0,0.0,0.074,19.4,1.58,0.008,12.35,3.22,0.05,0.32,0.04,1
1136,2.64,0.51,2.6,0.11,2.84,0.8,0.27,0.93,0.0,0.0,0.07,16.91,1.51,0.002,48.06,4.16,0.06,0.11,0.02,1
1137,3.95,0.25,1.73,0.05,0.94,0.34,0.01,0.01,0.0,0.0,0.148,10.84,2.0,0.007,37.84,1.23,0.06,0.01,0.02,0
1138,3.2,0.07,2.88,0.06,7.83,0.4,1.24,0.92,0.0,0.0,0.172,6.98,1.14,0.004,58.24,5.9,0.08,0.21,0.01,1
1139,0.23,0.39,1.79,0.07,3.57,0.8,1.54,0.32,0.0,0.0,0.041,18.92,1.68,0.009,53.95,7.25,0.06,0.28,0.08,1
1140,3.91,0.93,4.29,0.1,4.05,0.14,1.04,1.39,0.0,0.0,0.176,4.13,1.26,0.008,51.09,6.42,0.03,0.43,0.05,1
1141,1.3,0.63,1.61,0.08,3.94,0.15,0.33,1.33,0.0,0.0,0.136,11.7,2.25,0.008,53.51,4.39,0.01,0.39,0.01,1
1142,0.23,0.95,1.47,0.09,2.05,0.27,0.6,0.07,0.0,0.0,0.164,0.88,1.18,0.01,45.8,3.44,0.06,0.44,0.04,1
1143,2.34,0.4,1.25,0.08,5.38,0.19,1.64,0.61,0.0,0.0,0.038,12.19,1.55,0.006,18.77,4.33,0.02,0.28,0.08,1
1144,0.12,0.37,1.11,0.02,6.39,0.0,0.81,0.24,0.0,0.0,0.005,16.93,1.73,0.002,17.69,1.67,0.04,0.0,0.03,0
1145,2.76,0.76,3.25,0.01,1.16,0.13,1.69,0.98,0.0,0.0,0.181,6.76,2.02,0.008,46.34,2.65,0.07,0.4,0.01,1
1146,4.23,0.12,1.3,0.12,0.79,0.77,1.51,0.36,0.0,0.0,0.159,14.47,1.81,0.008,22.95,6.2,0.07,0.12,0.07,1
1147,4.39,0.86,1.94,0.11,3.99,0.8,1.99,0.48,0.0,0.0,0.05,18.81,1.49,0.0,20.32,6.66,0.09,0.16,0.0,1
1148,0.97,0.17,2.19,0.01,7.78,0.19,1.22,1.06,0.0,0.0,0.103,4.13,1.51,0.007,21.32,4.35,0.01,0.41,0.07,1
1149,2.44,0.21,2.04,0.1,1.54,0.23,1.3,0.37,0.0,0.0,0.156,10.42,1.16,0.008,25.25,3.24,0.05,0.44,0.0,1
1150,0.95,0.54,4.16,0.04,5.15,0.15,1.38,1.39,0.0,0.0,0.047,2.98,1.47,0.001,16.75,7.35,0.09,0.44,0.08,1
1151,0.94,0.62,4.14,0.04,1.05,0.26,0.5,0.85,0.0,0.0,0.034,4.5,1.39,0.007,49.1,3.23,0.09,0.03,0.02,1
1152,2.45,0.58,3.98,0.07,5.34,0.3,0.78,0.09,0.0,0.0,0.138,11.39,1.56,0.009,17.64,4.63,0.09,0.18,0.05,1
1153,4.96,0.95,2.88,0.04,3.03,0.19,0.17,0.59,0.0,0.0,0.159,18.87,1.55,0.008,19.88,6.49,0.01,0.31,0.09,1
1154,3.42,0.85,2.58,0.13,1.68,0.68,1.45,1.4,0.0,0.0,0.102,8.55,1.7,0.002,51.66,1.31,0.01,0.18,0.04,1
1155,3.13,0.93,1.99,0.1,0.52,0.03,0.04,1.16,0.0,0.0,0.044,6.14,1.49,0.006,14.26,3.72,0.04,0.14,0.08,1
1156,3.74,0.38,2.76,0.11,6.53,0.8,1.8,1.46,0.0,0.0,0.113,10.13,1.26,0.006,19.64,3.95,0.09,0.44,0.07,1
1157,4.76,0.41,1.88,0.11,6.84,0.43,1.83,1.03,0.0,0.0,0.137,10.85,1.75,0.002,44.05,1.08,0.06,0.27,0.02,1
1158,3.41,0.97,1.31,0.1,4.69,0.35,1.37,0.65,0.0,0.0,0.034,11.37,2.28,0.008,47.68,6.75,0.06,0.42,0.02,1
1159,4.51,0.26,4.14,0.03,5.41,0.38,0.52,0.22,0.0,0.0,0.064,12.67,1.5,0.004,16.18,6.63,0.03,0.14,0.07,1
1160,4.55,0.34,1.73,0.09,3.87,0.59,1.45,0.28,0.0,0.0,0.197,8.83,1.59,0.006,53.73,4.47,0.06,0.02,0.08,1
1161,0.62,0.86,1.68,0.06,4.25,0.49,0.75,0.44,0.0,0.0,0.157,16.01,1.34,0.002,20.7,7.42,0.04,0.3,0.04,1
1162,2.74,1.0,1.19,0.09,0.92,0.33,0.07,0.7,0.0,0.0,0.008,6.81,1.86,0.006,44.94,7.85,0.06,0.13,0.08,1
1163,4.35,0.2,3.35,0.04,4.21,0.28,1.66,0.79,0.0,0.0,0.059,5.22,1.28,0.006,10.98,4.05,0.06,0.24,0.05,1
1164,2.22,0.73,2.11,0.09,4.46,0.76,1.96,0.82,0.0,0.0,0.037,13.97,1.94,0.0,40.35,0.77,0.0,0.33,0.01,1
1165,1.37,0.93,0.6,0.04,8.0,0.03,0.57,1.44,0.0,0.0,0.092,8.05,2.01,0.009,46.27,2.68,0.02,0.3,0.07,1
1166,2.64,0.7,2.32,0.06,6.73,0.07,0.65,1.5,0.0,0.0,0.118,12.2,2.08,0.002,18.49,2.35,0.01,0.31,0.06,1
1167,5.05,0.28,2.9,0.05,1.02,0.19,0.36,1.39,0.0,0.0,0.116,3.25,1.8,0.001,1.29,7.85,0.06,0.05,0.08,1
1168,2.65,0.35,3.5,0.11,3.38,0.26,1.07,1.44,0.0,0.0,0.06,10.54,1.83,0.006,22.71,1.55,0.1,0.04,0.08,1
1169,0.4,0.2,3.33,0.01,1.02,0.59,0.08,1.19,0.0,0.0,0.157,11.51,1.41,0.0,34.36,6.7,0.04,0.42,0.02,1
1170,3.88,0.18,2.79,0.06,7.34,0.13,1.64,0.78,0.0,0.0,0.038,7.84,1.91,0.009,54.46,3.07,0.09,0.11,0.03,1
1171,2.95,0.11,3.77,0.05,4.65,0.37,1.39,1.19,0.0,0.0,0.194,1.37,1.42,0.009,5.04,7.6,0.08,0.48,0.02,1
1172,1.61,0.35,1.33,0.11,4.01,0.21,0.5,1.34,0.0,0.0,0.095,2.57,1.52,0.001,21.16,6.6,0.01,0.42,0.07,1
1173,4.39,0.36,2.61,0.1,3.49,0.79,0.55,0.96,0.0,0.0,0.062,14.92,2.07,0.003,3.28,1.55,0.03,0.15,0.04,1
1174,2.28,0.25,4.02,0.11,1.6,0.86,0.66,1.0,0.0,0.0,0.182,12.68,1.38,0.004,47.65,1.27,0.07,0.4,0.0,1
1175,3.86,0.27,4.18,0.0,2.71,0.05,0.06,0.74,0.0,0.0,0.075,4.94,1.27,0.003,54.85,7.35,0.05,0.36,0.0,1
1176,2.8,0.51,0.29,0.11,1.98,0.77,0.05,1.43,0.0,0.0,0.04,4.39,2.19,0.007,43.0,2.01,0.01,0.23,0.01,1
1177,0.86,0.89,4.47,0.07,2.17,0.41,0.79,0.59,0.0,0.0,0.024,4.24,1.79,0.002,16.12,6.25,0.06,0.35,0.09,1
1178,1.17,0.59,2.62,0.12,3.08,0.66,1.26,1.33,0.0,0.0,0.164,3.12,1.8,0.0,4.98,1.18,0.01,0.42,0.01,1
1179,4.05,0.28,1.2,0.08,8.07,0.32,0.21,1.04,0.0,0.0,0.105,4.48,1.63,0.009,56.46,1.04,0.06,0.04,0.03,1
1180,4.13,0.63,4.21,0.01,5.42,0.86,1.94,0.8,0.0,0.0,0.124,13.29,1.62,0.01,28.15,1.51,0.01,0.27,0.04,1
1181,1.6,0.3,3.77,0.01,0.2,0.84,0.71,1.43,0.0,0.0,0.144,1.9,1.13,0.009,43.48,7.67,0.05,0.23,0.01,1
1182,2.47,0.26,2.83,0.0,6.26,0.03,1.33,1.0,0.0,0.0,0.152,16.72,2.2,0.006,16.27,3.36,0.07,0.27,0.06,1
1183,2.61,1.0,2.77,0.1,5.92,0.33,0.89,1.41,0.0,0.0,0.119,11.72,2.62,0.009,35.36,7.08,0.06,0.14,0.01,1
1184,3.04,0.92,3.55,0.03,0.88,0.72,0.55,0.19,0.0,0.0,0.089,0.52,1.32,0.004,33.04,6.83,0.01,0.25,0.03,1
1185,1.41,0.56,4.39,0.1,3.93,0.49,1.53,1.04,0.0,0.0,0.064,14.68,2.08,0.007,43.72,5.56,0.0,0.03,0.08,1
1186,1.48,0.79,2.86,0.03,5.23,0.05,1.04,1.19,0.0,0.0,0.079,8.61,1.83,0.008,33.97,7.94,0.03,0.36,0.0,1
1187,3.88,0.36,1.03,0.09,5.68,0.22,1.09,0.4,0.0,0.0,0.125,7.86,1.44,0.008,58.5,6.5,0.01,0.15,0.04,1
1188,1.71,0.25,2.87,0.06,5.21,0.55,0.88,1.45,0.0,0.0,0.067,13.62,2.07,0.007,4.62,5.78,0.04,0.26,0.01,1
1189,0.52,0.6,2.96,0.08,0.69,0.21,1.32,1.23,0.0,0.0,0.049,18.94,1.86,0.007,32.08,0.51,0.06,0.2,0.0,1
1190,3.43,0.66,2.53,0.11,1.1,0.18,0.46,1.43,0.0,0.0,0.08,17.7,1.5,0.005,40.84,2.01,0.02,0.25,0.06,1
1191,0.06,0.21,2.17,0.1,4.85,0.65,0.73,0.82,0.0,0.0,0.122,2.22,1.66,0.007,37.91,2.87,0.1,0.01,0.04,1
1192,3.67,0.57,1.09,0.08,1.59,0.86,1.44,1.42,0.0,0.0,0.177,0.49,1.41,0.002,36.22,4.95,0.06,0.07,0.06,1
1193,4.47,0.74,0.92,0.08,0.85,0.63,1.33,1.37,0.0,0.0,0.042,12.17,2.07,0.001,47.49,1.83,0.07,0.03,0.02,0
1194,3.48,0.71,3.64,0.05,4.55,0.09,0.37,0.49,0.0,0.0,0.185,11.36,2.18,0.01,46.04,4.85,0.06,0.18,0.02,1
1195,3.7,0.83,2.98,0.01,2.85,0.34,0.98,0.23,0.0,0.0,0.164,5.96,1.51,0.007,23.91,3.73,0.06,0.28,0.05,1
1196,4.91,0.05,3.71,0.11,7.53,0.79,0.71,1.26,0.0,0.0,0.102,18.92,1.34,0.006,30.76,6.9,0.03,0.39,0.07,1
1197,2.87,0.57,1.42,0.04,3.41,0.51,1.38,1.26,0.0,0.0,0.152,4.42,1.63,0.01,0.91,0.53,0.06,0.09,0.06,1
1198,1.1,0.43,2.33,0.12,1.52,0.04,1.11,1.19,0.0,0.0,0.1,3.45,1.78,0.001,33.75,3.52,0.04,0.42,0.02,1
1199,0.78,0.42,3.87,0.08,6.05,0.71,0.53,0.95,0.0,0.0,0.011,12.4,1.79,0.006,31.07,3.57,0.03,0.01,0.05,1
1200,1.26,0.59,3.0,0.12,6.92,0.09,1.18,0.88,0.0,0.0,0.032,3.75,1.82,0.003,52.74,7.46,0.06,0.03,0.07,1
1201,2.2,0.88,3.5,0.06,1.92,0.11,1.96,1.32,0.0,0.0,0.192,13.65,1.6,0.002,36.58,2.96,0.09,0.32,0.09,1
1202,3.65,0.52,1.03,0.09,2.57,0.67,1.36,0.66,0.0,0.0,0.11,10.47,2.07,0.006,41.13,4.17,0.08,0.17,0.04,1
1203,2.72,0.51,1.34,0.1,3.75,0.7,1.89,0.7,0.0,0.0,0.172,14.74,1.61,0.004,59.5,4.23,0.02,0.47,0.05,1
1204,1.78,0.87,3.93,0.03,4.04,0.07,1.89,0.17,0.0,0.0,0.124,16.79,1.43,0.009,19.67,3.75,0.07,0.32,0.02,1
1205,3.4,0.42,1.98,0.07,8.42,0.28,1.86,0.45,0.0,0.0,0.185,1.38,1.74,0.003,46.43,7.29,0.07,0.02,0.01,1
1206,0.42,0.07,3.73,0.02,1.0,0.79,0.72,0.87,0.0,0.0,0.033,19.35,1.21,0.004,27.61,0.4,0.08,0.31,0.04,1
1207,2.16,0.14,1.09,0.01,6.51,0.41,0.13,0.82,0.0,0.0,0.088,16.7,2.04,0.0,30.1,2.48,0.05,0.1,0.02,0
1208,0.84,0.47,1.22,0.01,5.6,0.21,0.03,1.27,0.0,0.0,0.041,17.08,1.36,0.009,6.52,4.72,0.05,0.2,0.07,1
1209,1.8,1.05,3.17,0.02,6.04,0.47,1.53,1.25,0.0,0.0,0.164,11.4,2.01,0.002,44.13,6.79,0.06,0.12,0.04,1
1210,1.04,0.45,3.74,0.02,2.59,0.65,0.25,1.16,0.0,0.0,0.191,11.94,1.23,0.007,21.5,6.19,0.03,0.17,0.07,1
1211,1.91,0.51,1.32,0.13,5.9,0.85,1.09,0.97,0.0,0.0,0.051,3.69,1.66,0.006,57.83,5.19,0.04,0.08,0.08,1
1212,4.89,0.76,3.52,0.04,8.08,0.27,1.74,0.36,0.0,0.0,0.187,4.95,2.49,0.002,56.36,2.3,0.06,0.22,0.06,1
1213,3.14,0.29,3.8,0.05,4.76,0.33,1.94,0.78,0.0,0.0,0.101,12.81,1.75,0.008,48.89,7.62,0.02,0.33,0.04,1
1214,0.59,0.3,2.53,0.05,5.3,0.86,1.96,0.84,0.0,0.0,0.007,4.28,1.36,0.01,26.28,5.48,0.1,0.15,0.01,1
1215,0.34,0.53,3.45,0.02,6.44,0.87,1.41,0.37,0.0,0.0,0.085,5.37,1.91,0.007,27.35,1.89,0.06,0.13,0.08,1
1216,1.77,0.44,1.97,0.08,7.53,0.77,1.32,1.3,0.0,0.0,0.086,4.98,1.68,0.001,30.56,4.87,0.07,0.49,0.03,1
1217,3.34,0.29,2.79,0.02,4.41,0.36,1.6,0.15,0.0,0.0,0.01,14.11,1.66,0.006,38.27,2.96,0.04,0.33,0.0,1
1218,2.64,0.38,1.38,0.09,7.28,0.38,1.24,0.14,0.0,0.0,0.032,19.58,1.59,0.0,42.92,1.74,0.03,0.15,0.01,1
1219,0.27,0.64,3.64,0.12,5.32,0.06,1.17,0.9,0.0,0.0,0.13,2.97,1.5,0.01,59.89,4.23,0.0,0.03,0.01,1
1220,0.16,0.58,2.04,0.11,7.55,0.23,1.44,0.17,0.0,0.0,0.096,14.84,1.95,0.008,25.94,4.17,0.08,0.18,0.03,1
1221,2.4,0.66,1.87,0.1,7.56,0.47,0.33,0.82,0.0,0.0,0.093,2.09,1.48,0.004,24.19,0.45,0.03,0.3,0.05,1
1222,4.09,0.46,1.71,0.05,4.85,0.24,1.66,0.64,0.0,0.0,0.124,13.18,1.3,0.007,32.6,3.65,0.05,0.37,0.02,1
1223,3.65,0.81,2.54,0.12,1.5,0.08,1.89,0.65,0.0,0.0,0.011,13.96,1.9,0.001,23.73,5.78,0.08,0.04,0.07,1
1224,3.76,0.52,3.31,0.04,0.12,0.54,0.59,0.54,0.0,0.0,0.124,17.73,1.51,0.002,27.71,7.03,0.03,0.08,0.0,1
1225,0.66,0.94,3.39,0.08,7.38,0.43,0.7,0.8,0.0,0.0,0.1,19.36,2.2,0.001,41.47,5.96,0.05,0.08,0.0,1
1226,0.84,0.68,2.78,0.12,1.38,0.04,1.75,0.76,0.0,0.0,0.092,13.55,1.32,0.01,37.88,2.66,0.05,0.27,0.04,1
1227,3.84,0.95,2.91,0.07,6.99,0.03,0.11,0.21,0.0,0.0,0.059,3.35,2.07,0.01,29.26,6.56,0.1,0.06,0.05,1
1228,3.1,0.27,1.54,0.02,6.03,0.86,1.72,0.81,0.0,0.0,0.15,3.5,1.87,0.004,41.09,7.27,0.02,0.24,0.05,1
1229,0.89,0.8,2.07,0.1,4.65,0.72,0.06,0.04,0.0,0.0,0.078,11.23,2.03,0.001,47.85,2.41,0.08,0.04,0.04,1
1230,2.03,0.66,4.38,0.1,3.71,0.79,1.37,0.62,0.0,0.0,0.112,8.21,1.64,0.007,2.03,4.38,0.05,0.29,0.05,1
1231,4.23,0.67,2.41,0.08,5.91,0.68,0.34,0.12,0.0,0.0,0.135,13.54,1.22,0.002,8.36,2.38,0.06,0.19,0.04,1
1232,3.32,0.14,0.98,0.08,4.75,0.23,0.77,0.68,0.0,0.0,0.092,14.06,1.84,0.004,3.32,0.34,0.06,0.34,0.0,1
1233,0.64,0.38,1.5,0.06,6.75,0.17,0.57,1.33,0.0,1.0,0.065,17.28,1.64,0.004,48.49,5.45,0.08,0.48,0.08,1
1234,0.41,0.81,2.4,0.07,6.55,0.32,1.46,0.94,0.0,0.002,0.135,8.08,1.6,0.005,29.77,5.92,0.1,0.11,0.0,1
1235,1.45,0.92,3.19,0.01,0.9,0.52,1.84,1.48,0.0,0.005,0.135,19.56,2.28,0.002,5.56,6.88,0.0,0.47,0.08,1
1236,1.51,0.48,2.07,0.04,7.02,0.4,0.68,0.79,0.0,0.002,0.014,7.57,1.4,0.009,54.37,7.92,0.01,0.33,0.02,1
1237,2.07,0.68,3.11,0.09,4.74,0.41,0.78,0.33,0.0,0.5,0.18,17.14,1.94,0.002,55.91,3.48,0.0,0.42,0.02,1
1238,0.05,0.43,3.88,0.12,0.76,0.3,1.39,1.3,0.0,0.008,0.08,9.35,1.79,0.009,28.76,7.21,0.09,0.22,0.08,1
1239,0.98,0.24,3.63,0.09,5.56,0.88,1.89,1.05,0.0,0.83,0.184,1.8,1.54,0.001,44.83,0.9,0.07,0.04,0.07,1
1240,4.05,0.05,3.38,0.09,1.49,0.52,0.06,0.14,0.0,0.66,0.144,0.94,1.89,0.006,22.26,6.84,0.02,0.46,0.05,1
1241,0.83,0.17,4.45,0.13,3.28,0.06,1.72,1.06,0.0,0.63,0.171,2.84,1.63,0.005,30.96,1.5,0.02,0.07,0.02,0
1242,4.53,0.34,3.55,0.06,6.69,0.14,1.99,1.44,0.0,0.003,0.1,4.27,2.29,0.01,35.22,2.12,0.02,0.49,0.04,1
1243,0.76,1.03,1.84,0.06,4.15,0.69,0.32,0.66,0.0,0.006,0.123,2.47,2.09,0.002,43.67,0.66,0.04,0.05,0.03,0
1244,0.11,0.04,2.77,0.11,5.4,0.73,0.8,1.28,0.0,0.93,0.184,11.51,1.52,0.003,36.7,5.85,0.09,0.49,0.09,1
1245,0.92,0.48,2.63,0.11,3.81,0.12,1.22,1.49,0.0,0.99,0.03,2.56,1.13,0.002,50.65,7.15,0.0,0.44,0.03,1
1246,1.49,0.22,3.95,0.09,2.81,0.02,1.17,1.09,0.0,0.008,0.089,13.95,1.99,0.004,17.12,1.22,0.03,0.03,0.08,1
1247,2.74,0.92,1.28,0.06,2.14,0.74,1.74,0.97,0.0,0.004,0.199,13.86,1.75,0.006,5.7,5.19,0.07,0.44,0.08,1
1248,1.26,0.13,0.94,0.07,2.05,0.56,1.59,0.13,0.0,0.0,0.076,10.09,1.9,0.01,26.95,1.45,0.05,0.12,0.02,1
1249,4.41,0.87,2.09,0.06,7.12,0.87,0.6,0.03,0.0,0.001,0.137,14.13,1.66,0.001,52.31,0.99,0.0,0.07,0.05,1
1250,2.88,0.21,2.29,0.05,4.49,0.42,0.38,1.11,0.0,0.93,0.097,9.41,2.68,0.002,31.16,4.4,0.02,0.45,0.05,1
1251,2.63,0.53,2.26,0.13,5.58,0.73,1.76,0.63,0.0,0.91,0.139,6.36,1.88,0.007,16.46,5.87,0.05,0.01,0.06,1
1252,0.62,0.69,2.32,0.02,7.24,0.63,0.29,1.43,0.0,0.75,0.166,13.99,1.91,0.006,30.33,6.81,0.08,0.49,0.07,1
1253,2.19,0.43,0.55,0.06,8.21,0.76,0.7,0.52,0.0,0.59,0.152,14.92,1.53,0.004,8.13,0.51,0.03,0.35,0.07,1
1254,0.2,0.65,0.94,0.05,7.26,0.52,1.69,0.96,0.0,0.001,0.021,14.98,1.95,0.005,15.08,2.36,0.01,0.43,0.01,1
1255,2.06,0.31,2.65,0.1,6.64,0.06,0.67,0.63,0.0,0.003,0.007,10.01,2.21,0.002,13.38,6.35,0.09,0.17,0.07,1
1256,1.77,0.34,1.02,0.01,6.79,0.28,0.36,0.45,0.0,0.79,0.198,8.09,1.44,0.008,34.69,1.1,0.0,0.33,0.06,1
1257,2.23,0.51,4.4,0.06,1.95,0.33,1.68,0.48,0.0,0.62,0.147,18.09,1.5,0.004,24.79,1.38,0.1,0.28,0.02,1
1258,4.43,0.58,1.69,0.06,3.69,0.1,1.32,0.87,0.0,0.61,0.174,12.98,1.41,0.009,56.07,2.6,0.06,0.05,0.09,1
1259,1.8,0.28,2.64,0.09,7.2,0.15,1.04,0.58,0.0,0.5,0.106,15.47,1.97,0.005,38.8,4.25,0.03,0.24,0.01,1
1260,1.94,0.22,0.65,0.05,6.12,0.68,0.07,0.13,0.0,0.008,0.019,12.83,1.04,0.003,54.5,5.43,0.02,0.1,0.04,1
1261,2.95,0.6,2.91,0.03,6.48,0.08,0.85,1.16,0.0,0.005,0.067,15.55,2.02,0.01,27.97,6.47,0.09,0.48,0.01,1
1262,3.78,0.18,0.99,0.11,7.22,0.61,1.67,1.19,0.0,0.86,0.132,1.29,1.42,0.009,0.69,3.12,0.09,0.05,0.03,1
1263,3.02,0.76,1.91,0.05,1.55,0.65,0.72,0.57,0.0,0.007,0.153,15.95,1.66,0.003,18.36,2.14,0.1,0.49,0.09,1
1264,3.9,0.41,0.34,0.03,7.94,0.06,0.28,0.28,0.0,0.0,0.137,18.54,1.55,0.009,13.18,6.93,0.1,0.26,0.02,1
1265,2.37,0.83,3.33,0.06,3.63,0.4,1.71,1.4,0.0,0.95,0.025,10.25,2.56,0.007,3.22,6.07,0.04,0.19,0.08,1
1266,4.0,0.89,1.2,0.01,7.26,0.01,0.7,1.43,0.0,0.004,0.188,9.77,1.88,0.002,53.79,5.26,0.06,0.47,0.03,1
1267,2.11,0.68,2.42,0.03,2.32,0.55,0.56,1.29,0.0,0.64,0.18,3.61,1.23,0.008,22.27,0.3,0.09,0.01,0.09,1
1268,2.27,0.35,2.86,0.02,7.04,0.8,1.07,1.35,0.0,0.003,0.113,14.84,1.3,0.003,13.62,5.82,0.06,0.36,0.04,1
1269,3.89,0.45,4.22,0.06,1.76,0.18,0.66,0.88,0.0,0.68,0.113,18.8,2.06,0.002,4.92,5.33,0.01,0.38,0.05,1
1270,4.02,0.5,2.37,0.07,1.29,0.4,1.17,1.31,0.0,0.57,0.109,6.88,2.23,0.007,27.59,2.38,0.05,0.22,0.02,1
1271,4.49,0.23,3.64,0.04,1.47,0.32,0.29,0.67,0.0,0.65,0.155,10.86,1.91,0.01,41.15,5.15,0.04,0.32,0.07,1
1272,3.78,0.37,0.47,0.04,1.99,0.69,1.49,0.75,0.0,0.66,0.099,10.5,1.85,0.007,11.27,6.53,0.02,0.07,0.09,1
1273,2.76,0.53,0.65,0.06,4.83,0.04,0.29,1.28,0.0,0.96,0.04,11.29,1.37,0.003,7.63,7.74,0.09,0.4,0.07,1
1274,3.29,0.43,0.71,0.01,6.0,0.68,1.25,0.29,0.0,0.78,0.112,3.15,1.43,0.006,47.56,3.04,0.07,0.32,0.06,1
1275,3.01,0.17,1.04,0.1,4.04,0.16,1.34,0.36,0.0,0.84,0.07,8.5,1.13,0.007,30.16,4.78,0.09,0.09,0.05,1
1276,3.9,0.48,1.9,0.08,4.35,0.41,0.85,0.82,0.0,0.9,0.154,14.38,1.85,0.009,2.0,4.47,0.03,0.19,0.0,1
1277,2.96,0.27,1.58,0.08,5.17,0.47,1.21,1.09,0.0,0.77,0.158,2.6,1.78,0.004,1.19,0.89,0.05,0.04,0.08,1
1278,3.49,0.78,2.91,0.1,0.96,0.39,0.76,0.24,0.0,0.007,0.027,4.67,1.84,0.001,26.74,3.75,0.07,0.02,0.06,1
1279,4.46,0.09,0.97,0.09,7.71,0.33,1.34,1.43,0.0,0.007,0.152,14.03,1.79,0.005,25.44,2.52,0.05,0.23,0.03,1
1280,2.25,0.24,2.32,0.08,0.84,0.85,0.39,1.47,0.0,0.58,0.154,2.34,1.95,0.002,11.98,0.59,0.0,0.33,0.04,1
1281,1.19,0.62,1.91,0.01,2.01,0.76,1.72,1.07,0.0,0.96,0.119,11.78,2.08,0.005,17.78,2.18,0.02,0.15,0.02,1
1282,0.05,0.49,2.0,0.07,3.78,0.26,1.86,0.42,0.0,0.003,0.115,6.13,2.28,0.005,33.05,6.36,0.06,0.27,0.06,1
1283,1.19,0.86,4.44,0.01,2.1,0.58,1.35,1.06,0.0,0.007,0.069,12.39,1.81,0.005,8.82,2.78,0.07,0.16,0.03,1
1284,0.14,0.6,3.96,0.08,5.8,0.2,1.58,0.15,0.0,0.72,0.013,9.62,1.43,0.008,0.35,3.22,0.06,0.07,0.09,1
1285,2.95,0.62,1.3,0.12,3.66,0.3,1.09,1.35,0.0,0.006,0.13,18.3,1.72,0.01,49.41,6.33,0.05,0.06,0.07,1
1286,1.4,0.64,2.04,0.03,2.81,0.04,0.4,1.16,0.0,0.87,0.126,18.66,2.07,0.008,50.81,7.15,0.03,0.18,0.08,1
1287,2.42,0.95,3.89,0.07,2.66,0.78,1.18,0.07,0.0,0.77,0.042,16.97,1.41,0.009,54.18,1.07,0.05,0.16,0.06,1
1288,0.18,0.78,3.09,0.08,0.96,0.25,0.31,1.29,0.0,0.56,0.026,17.15,1.78,0.002,55.59,0.98,0.02,0.21,0.08,1
1289,3.98,0.96,1.03,0.04,1.65,0.61,0.84,0.55,0.0,0.78,0.118,6.33,1.62,0.003,19.5,2.44,0.04,0.04,0.07,1
1290,4.12,0.83,3.76,0.12,6.77,0.18,0.33,0.22,0.0,0.008,0.163,11.77,1.2,0.007,29.43,3.14,0.04,0.38,0.06,1
1291,4.02,0.9,4.26,0.05,6.79,0.12,1.44,0.63,0.0,0.004,0.162,16.51,1.85,0.003,21.68,7.28,0.02,0.24,0.02,1
1292,1.49,0.19,2.28,0.1,3.14,0.19,0.66,0.59,0.0,0.65,0.194,14.06,1.76,0.008,52.0,6.36,0.09,0.4,0.04,1
1293,3.94,0.25,2.76,0.12,1.42,0.04,0.14,0.77,0.0,0.003,0.062,13.69,2.58,0.005,24.92,0.99,0.08,0.49,0.08,1
1294,2.14,0.59,1.97,0.11,6.05,0.02,1.15,0.53,0.0,0.66,0.088,8.37,1.85,0.001,35.93,5.66,0.0,0.17,0.02,1
1295,4.84,0.74,4.16,0.07,4.54,0.28,1.96,0.5,0.0,0.5,0.196,6.91,1.52,0.004,48.9,7.77,0.07,0.12,0.06,1
1296,2.59,0.07,2.38,0.09,8.01,0.03,0.34,1.4,0.0,0.56,0.013,4.29,1.58,0.009,38.22,6.53,0.05,0.05,0.03,1
1297,0.24,0.31,2.56,0.1,7.89,0.05,0.15,1.19,0.0,0.61,0.164,17.72,1.56,0.001,14.52,0.53,0.0,0.06,0.01,0
1298,4.82,0.74,0.6,0.09,0.9,0.1,1.6,0.83,0.0,0.68,0.153,5.72,1.91,0.009,25.79,7.22,0.05,0.49,0.05,1
1299,3.86,0.97,2.89,0.09,6.44,0.45,0.22,0.79,0.0,0.59,0.119,14.94,2.17,0.001,38.37,6.14,0.08,0.4,0.05,1
1300,1.56,0.84,3.9,0.11,5.76,0.12,1.41,0.92,0.0,0.93,0.075,16.88,2.08,0.005,33.63,5.24,0.05,0.15,0.07,1
